Rank,Region,Score,GDP,Social,Healthy,Freedom,Generosity,Corruption,Area,Population,Continent,Ocupation,Latitude,Longitude
71,Moldova,5.529,0.685,1.328,0.7390000000000001,0.245,0.18100000000000002,0.0,33843.0,3545883,EU,104.77448807729812,47.411631,28.369884999999996
72,Libya,5.525,1.044,1.3030000000000002,0.6729999999999999,0.41600000000000004,0.133,0.152,1759540.0,6678567,AF,3.7956323811905386,26.3351,17.228331
73,Montenegro,5.523,1.051,1.361,0.871,0.19699999999999998,0.142,0.08,14026.0,622345,EU,44.37081135034935,42.708678000000006,19.37439
74,Tajikistan,5.4670000000000005,0.493,1.0979999999999999,0.718,0.389,0.23,0.14400000000000002,143100.0,9100837,AS,63.5977428371768,38.861034000000004,71.276093
75,Croatia,5.432,1.155,1.266,0.914,0.29600000000000004,0.11900000000000001,0.022000000000000002,56542.0,4089400,EU,72.32499734710481,45.1,15.2
76,Hong Kong,5.43,1.4380000000000002,1.2770000000000001,1.122,0.44,0.258,0.287,1092.0,7451000,AS,6823.260073260073,22.396428,114.10949699999999
77,Dominican Republic,5.425,1.015,1.401,0.779,0.49700000000000005,0.113,0.10099999999999999,48730.0,10627165,NT,218.08259798891854,18.735692999999998,-70.162651
78,Bosnia and Herzegovina,5.386,0.945,1.212,0.845,0.212,0.263,0.006,51129.0,3323929,EU,65.01063975434685,43.915886,17.679076000000002
79,Turkey,5.372999999999999,1.183,1.36,0.8079999999999999,0.195,0.083,0.106,780580.0,82319724,AS,105.45968894924287,38.963745,35.243322
80,Malaysia,5.3389999999999995,1.2209999999999999,1.171,0.828,0.508,0.26,0.024,329750.0,31528585,AS,95.61360121304018,4.210483999999999,101.97576600000001
81,Belarus,5.3229999999999995,1.067,1.465,0.789,0.235,0.094,0.142,207600.0,9485386,EU,45.69068400770713,53.709807,27.953389
82,Greece,5.287000000000001,1.181,1.156,0.9990000000000001,0.067,0.0,0.034,131940.0,10727668,EU,81.30716992572381,39.074208,21.824312
83,Mongolia,5.285,0.948,1.531,0.667,0.317,0.235,0.038,1565000.0,3170208,AS,2.025692012779553,46.862496,103.84665600000001
85,Nigeria,5.265,0.696,1.111,0.245,0.426,0.215,0.040999999999999995,923768.0,195874740,AF,212.038888552104,9.081999,8.675277000000001
86,Kyrgyzstan,5.261,0.551,1.4380000000000002,0.723,0.508,0.3,0.023,198500.0,6315800,AS,31.8176322418136,41.20438,74.766098
87,Turkmenistan,5.247000000000001,1.052,1.538,0.657,0.39399999999999996,0.244,0.027999999999999997,488100.0,5850908,AS,11.987109198934645,38.969719,59.556278000000006
88,Algeria,5.211,1.002,1.16,0.785,0.086,0.073,0.114,2381740.0,42228429,AF,17.730075071166457,28.033886,1.6596259999999998
89,Morocco,5.207999999999999,0.8009999999999999,0.782,0.782,0.418,0.036000000000000004,0.076,446550.0,36029138,AF,80.68332325607435,31.791702,-7.09262
90,Azerbaijan,5.207999999999999,1.043,1.147,0.769,0.35100000000000003,0.035,0.182,86600.0,9942334,AS,114.8075519630485,40.143105,47.576927000000005
91,Lebanon,5.197,0.987,1.224,0.815,0.21600000000000003,0.166,0.027000000000000003,10400.0,6848925,AS,658.5504807692307,33.854721000000005,35.862285
92,Indonesia,5.192,0.9309999999999999,1.203,0.66,0.491,0.498,0.027999999999999997,1919440.0,267663435,AS,139.4487116033843,-0.789275,113.921327
93,China,5.191,1.0290000000000001,1.125,0.893,0.521,0.057999999999999996,0.1,9596960.0,1392730000,AS,145.12199696570582,35.86166,104.195397
94,Vietnam,5.175,0.741,1.3459999999999999,0.851,0.5429999999999999,0.147,0.073,329560.0,95540395,AS,289.9028856657361,14.058323999999999,108.277199
95,Bhutan,5.082,0.813,1.321,0.604,0.457,0.37,0.16699999999999998,47000.0,754394,AS,16.050936170212765,27.514162,90.433601
96,Cameroon,5.044,0.5489999999999999,0.91,0.331,0.381,0.187,0.037000000000000005,475440.0,25216237,AF,53.037685091704525,7.369722,12.354722
97,Bulgaria,5.011,1.092,1.5130000000000001,0.815,0.311,0.081,0.004,110910.0,7000039,EU,63.11458840501307,42.733883,25.48583
98,Ghana,4.996,0.611,0.868,0.486,0.381,0.245,0.04,239460.0,29767108,AF,124.3093126200618,7.946527000000001,-1.0231940000000002
100,Nepal,4.913,0.446,1.226,0.677,0.439,0.285,0.08900000000000001,140800.0,28087871,AS,199.48772017045454,28.394857000000002,84.12400799999999
101,Jordan,4.906000000000001,0.8370000000000001,1.225,0.815,0.38299999999999995,0.11,0.13,92300.0,9956011,AS,107.86577464788732,30.585164000000002,36.238414
